0,5.117541474271133373e-01,2.488362993266354448e-02,9.118332119896249699e-01,4.395751806305453653e-03
1,4.712126078859057987e-01,4.482316524229507104e-02,1.088722416027036566e+00,1.966947205570438936e-02
2,4.623712269784542861e-01,9.067907824818337292e-02,8.742317802835816165e-01,1.150447950901357930e-02
3,9.605466849027510801e-02,7.610244656558227960e-02,1.034459279351301664e+00,3.768271268855464488e-03
4,1.466934981567480367e-01,8.598829287878574645e-02,6.988787231548015955e-01,3.560674966623714188e-02
5,2.799270645585670292e-01,2.949515752999463947e-02,6.733148891458554663e-01,2.739455889270516961e-02
6,3.908630500143392972e-01,4.057752235168177873e-02,5.971350569167114264e-01,5.129063380829928902e-03
7,2.317850212807586463e-01,7.159695569490633245e-03,3.725352730349247299e-01,3.255546641773732902e-02
8,3.035714430539797060e-01,8.168268778338141564e-03,5.007332052004438427e-01,3.538282012693430567e-02
9,2.332134682221610189e-01,1.763238177523469494e-02,4.075905699426695672e-01,8.837516793727644496e-03
10,3.915254634655504495e-01,4.752267278957836988e-02,3.605067322591348766e-01,5.382963193589452439e-02
