0,5.959767043680678222e-01,3.332113429009777184e-03,1.053920616351731399e+00,1.048531935348738509e-02
1,4.906669132148757106e-01,1.199563526674654462e-01,1.157526200351392420e+00,7.874327811075292408e-03
2,5.399443425807152197e-01,1.001843178829938535e-01,1.202258641370095971e+00,3.944932132415929216e-02
3,6.900379373586858212e-02,1.640074049078159568e-01,1.370620397541586266e+00,4.420332795006199494e-02
4,4.309758839548543108e-01,1.429648038503210372e-02,1.099218995061338466e+00,2.910631928262462365e-02
5,4.076445777614983723e-01,4.165004252174486776e-02,1.357955932620697359e+00,9.294391909066331697e-03
6,5.185241811553840119e-01,2.259950635015162135e-02,1.553628686937229331e+00,2.196177130242872241e-02
7,4.368952988731716336e-01,3.484250877165081389e-02,1.672880470865285352e+00,1.135423758838056268e-02
8,4.838807487581216482e-01,3.380032708112216955e-02,1.641784103519175586e+00,1.423070429511263252e-02
9,5.425172838508497408e-01,2.459421036188119691e-02,1.965329977783924376e+00,1.534749148988770635e-02
10,6.567823482743698760e-01,2.117043642457351951e-02,2.052839991728223179e+00,1.708149082247594278e-02
