"Nitrogen"	"block"	"Yield"
0	1	65.2385265700483
0	2	59.0791062801932
0	3	63.3907004830918
0	4	60.4906400966184
75	3	72.8864734299517
75	2	67.9076086956522
75	4	70.0890700483092
75	1	77.7626811594203
150	4	76.7617753623189
150	3	78.5326086956522
150	2	69.7554347826087
150	1	79.5848429951691
225	4	76.556461352657
225	2	74.7342995169082
225	3	78.2503019323672
225	1	83.2548309178744
300	4	73.2201086956522
300	3	75.2475845410628
300	2	69.9094202898551
300	1	77.0184178743962
