"","anoxic_1","anoxic_2","attachment.control_1","attachment.control_2","attachment_1","attachment_2","biofilm.24h_1","biofilm.24h_2","biofilm.48h_1","biofilm.48h_2","low.phosphate_1","low.phosphate_2","exponential.growth_1","exponential.growth_2","exponential.growth_3","exponential.growth_4","exponential.growth_5","exponential.growth_6","ex.vivo.tumor_1","ex.vivo.tumor_2","heat.shock_42_1","heat.shock_42_2","heat.shock_50_1","heat.shock_50_2","heat.shock_50_3","heat.shock_50_4","iron.starvation_1","iron.starvation_2","iron.starvation_3","iron.starvation_4","iron.starvation_5","iron.starvation_6","iron.starvation_7","iron.starvation_8","low.osmolarity_1","low.osmolarity_2","low.osmolarity_3","low.osmolarity_4","stationary.phase_1","stationary.phase_2","transitional.growth_1","transitional.growth_2","transitional.growth_3","transitional.growth_4","transitional.growth_5","transitional.growth_6","transitional.growth_7"
"PA14_00740",3.27921003639235,3.58084102425173,4.10341782091508,2.98464839545581,3.02210163349562,2.99270773511654,4.60363965675579,3.92361225755197,3.73114558088785,4.1855510883517,5.21897797839945,5.39521170371786,3.64088155061028,3.76858666346877,3.53721335952381,3.83195080842057,4.06116325427591,3.79684920840798,4.69666087613183,4.06701201952996,5.82985822811495,5.79151615931448,7.45723128933439,8.26854713995713,7.34889288198418,8.06337107336772,4.14707424962531,4.67263253726632,4.20897633063106,4.70923061149629,4.80781518643697,4.65433644164604,4.23299449671029,4.66554158603975,3.26926553182011,2.9339834370312,4.31577986896369,3.42382988965961,4.21938203929827,4.33989225612612,4.05186233447081,4.53280237559064,4.83950592907104,4.55674763292773,4.39293201528872,4.37079422674681,4.3874218580644
"PA14_01290",7.39534363194168,6.73869026605589,8.29718894595207,8.39462766276239,9.89207633394788,9.83816069541352,6.37723423999158,5.93357155394857,8.35684829716458,8.69948404116725,9.2569123401354,8.77989186597855,3.75941338731773,3.94604515275834,4.26286952420782,3.35128885079489,4.33490404780246,3.79684920840798,6.07404814421112,4.73218142906672,8.87842819081195,8.64837047643582,10.3234312583907,9.1901479115677,10.1846629007582,9.92824061723475,6.07219434142042,6.24136171646691,6.36681993929298,6.03144805957626,6.18048914561134,6.04319379791961,5.5607142894075,5.99343459035607,4.0506416741798,4.19760190623095,4.6475282805033,3.92625063914977,8.81728107093947,8.85206460611051,5.53054887824518,4.24870354617558,5.31417668098794,4.17031158486003,4.50378257686239,4.27146555578629,4.06171992294363
"PA14_01300",5.69995227642509,4.66557794559886,8.86943125499301,8.7585023307926,10.0663770761093,9.96997673574234,6.14150156003395,6.05411134220083,8.3749972617414,7.69483780612654,8.97030453544146,8.9158435667605,3.13242045892805,2.86237255786693,3.50095412479292,2.6560220683125,4.00929431385942,3.43651236114419,5.61591813750743,4.06701201952996,9.29589657833693,7.89903852155427,10.338194687918,9.57979380996311,10.5585652414989,9.89066652112942,6.61307752638457,6.26801551267937,6.27056677246739,6.25042480267392,6.4909052459174,6.40989120282056,6.47316769348635,6.4067043861954,4.0506416741798,3.52854418795759,3.87074557299073,3.04324644571707,8.99484290836612,8.70734129080424,5.53054887824518,4.15928861470061,5.23124014025517,4.85681608821062,4.39293201528872,4.12610512941004,3.99844032140568
"PA14_01310",4.0656717692232,4.66557794559886,7.02742319049035,7.10989105061254,8.12434441848383,8.09175637575578,3.45112895890389,4.55705715960732,6.29821876487683,5.67719188883036,7.80214557243462,7.08150899913113,2.5517004963397,2.86237255786693,2.98278852043778,2.6560220683125,3.09120224737704,2.87675417268549,5.8632830840638,2.06627534492862,7.23256793020096,4.95553986453906,7.01324329400964,7.43605293229265,8.43006254887025,7.32848412625081,4.77927342602756,5.11236680898059,4.92474986067983,4.59460888266683,4.95246540007001,4.93702017370497,4.52036986258832,4.80582493742658,3.11527972668102,2.06627534492862,2.06627534492862,3.25214216986337,7.01681949281634,6.83374609371281,3.81565098500407,3.29936335019177,3.77442510699894,4.17031158486003,3.88039421508185,3.18199438715673,2.63934391645026
"PA14_01320",4.54337782766475,4.66557794559886,7.85585438885684,7.37707840697123,8.92743368140061,9.08639279044939,5.63424770145713,5.73124087732704,7.97186828201714,7.64386788868207,8.35357378941707,8.25803499504882,3.57672593381989,3.64796125029783,3.25282721438393,3.56867093527253,3.6416739953064,3.38197548131639,5.31623055458705,4.06701201952996,8.45717644162196,6.58055386488672,8.8513225243845,8.30600335191334,9.2646701609109,8.84806835863025,6.16039437608689,6.11976712466762,6.08481245054245,6.10481869964175,6.20908246180658,6.24550977381113,5.92876994585754,5.95458686986343,2.92887063567321,2.9339834370312,3.56873034142265,3.04324644571707,8.58702185613991,8.46876276372151,4.95315190890972,4.02952316954296,4.83950592907104,4.17031158486003,4.13880502709645,3.72112722899832,3.93180537035236
"PA14_04340",4.0656717692232,4.50921374906651,5.56495842964625,5.01823625173326,5.84905005431549,6.06804208250821,4.83718961606942,5.21217607257589,4.93668751891874,5.7108031252296,4.14513864379984,5.28349630157639,5.23206427421089,5.04538599501483,5.28119349547302,4.78714360724243,5.19179503214935,5.10114465500551,5.61591813750743,4.06701201952996,5.59128743085822,5.59088015452645,7.69179260046636,8.20387366244512,7.83398646663635,8.39981414187543,5.01127527219803,5.09238124636236,5.17876785739127,5.39063220933188,5.1446463627773,5.17176744052489,5.37393026563724,5.12243779599366,4.71231497404348,4.96498397028837,5.57747357962837,4.98935623406449,4.36336273770022,4.54252020165052,5.00704804518523,5.62030981740707,5.18786475159164,4.85681608821062,5.29180542586567,5.76966119644905,5.706807972174
"PA14_06840",11.4457301060553,10.5135526917896,2.89056522489752,2.06627534492862,2.06627534492862,3.19175660680364,3.96155650770476,3.61435697922547,3.06184747157334,3.54415636539289,2.68919131222915,3.27251132064323,3.31710908645838,3.17870149937668,4.42924887787119,3.46544991631145,3.6416739953064,4.2468340407253,6.69942360567555,6.8068609832555,8.60281867543679,8.75361374702041,6.83835948968586,7.72133241653391,7.42669541693895,6.85164871998215,3.77262747645425,3.01450766361366,2.9885461970376,3.3256672145368,3.76532875498989,3.26173024057697,2.97163312596332,3.32058581103106,2.68069453342055,2.06627534492862,3.15156430089589,3.81929271258048,3.01212379078799,3.03495578504785,5.05893844571937,6.75825642833032,5.31417668098794,7.02430630955111,8.45288564926522,8.8405724887416,8.43647922191114
"PA14_07950",9.34831099126336,9.69234917092629,4.98658750761947,5.5964040981784,5.52753352101161,5.32580193772107,6.30287997895002,5.49533834023595,6.25955831747169,5.37515373170169,6.50226021799994,6.54691121265274,4.5947227807471,4.77367450791713,4.54568802879926,4.74865802597208,4.4147833476462,4.35097883225369,6.76144416777281,5.51465479380997,5.63392986145749,6.24818464901626,8.74062100683362,8.03568700495745,7.77996956734914,8.51811585636668,5.35112974701249,5.09238124636236,5.36276617686842,5.13217959014996,5.23167622588729,5.29013988030763,5.29171775552301,5.19152240670387,4.95159360501543,4.80974617142454,5.4175345320147,4.49580508869501,5.80593372477728,5.53039910935051,4.42353455791299,4.86199355856875,4.00638977612198,3.61413951352199,4.39293201528872,4.40231595803666,4.33845175291253
"PA14_10800",5.0424065259229,4.50921374906651,3.97145576999065,3.34483700758027,3.02210163349562,4.32262047043333,3.96155650770476,4.55705715960732,5.20744061623907,5.19592052627357,4.14513864379984,4.62815142522756,5.24133537118464,4.77367450791713,4.52965740655322,4.49177161100858,4.78540564016021,4.98028061312554,3.51031537860161,2.06627534492862,6.21296303537969,5.47883890106599,6.79866889908071,7.19101008137776,7.68367665966016,7.65136816648022,5.11422098740045,5.82845693499322,4.96696708871779,5.21098826075365,4.95246540007001,5.34579444770951,5.77175907045754,5.85258044610847,5.1556626634402,3.90822768286164,5.4175345320147,5.07865236614191,6.12282477541521,5.49921371795209,5.49361830220867,4.91582240282054,5.46672697833151,3.61413951352199,4.9272039903292,4.61772582101845,4.17957669684589
"PA14_12740",7.73008362588826,5.99347906336724,4.61576341096743,4.84947806761095,4.07630859097117,3.83773891018311,5.75114507480183,5.73124087732704,5.5676441396553,5.4569041944121,5.18751946996377,5.34045843931444,5.62710108116464,5.90076915253071,5.47365274866196,5.20932984887632,5.96920406959835,4.62203011789412,6.34143246000969,6.8068609832555,7.37672216404652,6.3307626961847,8.67918591844583,8.4128665956515,7.59017999529446,8.25044034283804,4.94565385454527,5.65021869765071,5.04774610941733,5.48838789912544,5.48818619961489,5.2023073574448,5.41330963732449,5.38049527219138,4.91447799182565,5.73666634469217,4.31577986896369,6.14921363021226,5.44020277688273,4.77269990733325,4.89708276483979,6.12684217732797,3.89586842961436,3.61413951352199,4.13880502709645,4.7444187845905,3.99844032140568
