source	target	weight
PA14_09210	PA14_09220	0.989186488629195
PA14_09210	PA14_09230	0.949641673809787
PA14_09210	PA14_09240	0.993796842297057
PA14_09220	PA14_09240	0.970197537084174
PA14_09230	PA14_09240	0.971828175296338
PA14_09210	PA14_09270	0.992725708683316
PA14_09220	PA14_09270	0.986457903334577
PA14_09230	PA14_09270	0.948576573314447
PA14_09240	PA14_09270	0.986203119055928
PA14_09210	PA14_09280	0.996602826467104
PA14_09220	PA14_09280	0.983378913447057
PA14_09230	PA14_09280	0.953567821952264
PA14_09240	PA14_09280	0.993770306923174
PA14_09270	PA14_09280	0.992894034376614
PA14_09230	PA14_09290	0.985140125206737
PA14_09240	PA14_09290	0.955727750943642
PA14_09210	PA14_09300	0.988647704739966
PA14_09220	PA14_09300	0.981572516008555
PA14_09240	PA14_09300	0.983421772848507
PA14_09270	PA14_09300	0.989818893357816
PA14_09280	PA14_09300	0.992481230396793
PA14_09210	PA14_09320	0.944869141727667
PA14_09230	PA14_09320	0.98407275179514
PA14_09240	PA14_09320	0.966377163906421
PA14_09280	PA14_09320	0.947800729331064
PA14_09290	PA14_09320	0.985059201379113
PA14_09300	PA14_09320	0.943213391231211
PA14_09210	PA14_09340	0.980812845532279
PA14_09220	PA14_09340	0.96081232604657
PA14_09230	PA14_09340	0.97381769594632
PA14_09240	PA14_09340	0.987984189535433
PA14_09270	PA14_09340	0.98822141616269
PA14_09280	PA14_09340	0.984217471989121
PA14_09290	PA14_09340	0.955029205644642
PA14_09300	PA14_09340	0.976123575453281
PA14_09320	PA14_09340	0.954139627010332
PA14_09210	PA14_09350	0.957017684043861
PA14_09220	PA14_09350	0.962774336614521
PA14_09240	PA14_09350	0.939052444382952
PA14_09270	PA14_09350	0.976148279648234
PA14_09280	PA14_09350	0.95232164184838
PA14_09300	PA14_09350	0.951340053118946
PA14_09340	PA14_09350	0.955653797635534
PA14_09210	PA14_09370	0.988111887877965
PA14_09220	PA14_09370	0.958442818479313
PA14_09230	PA14_09370	0.97697917848021
PA14_09240	PA14_09370	0.99338364011775
PA14_09270	PA14_09370	0.979932753767798
PA14_09280	PA14_09370	0.987007272181381
PA14_09290	PA14_09370	0.959339284504241
PA14_09300	PA14_09370	0.977311060219975
PA14_09320	PA14_09370	0.977307785893142
PA14_09340	PA14_09370	0.982300592901915
PA14_09350	PA14_09370	0.938276912826752
PA14_09210	PA14_09380	0.978669065904444
PA14_09220	PA14_09380	0.9629673575586
PA14_09230	PA14_09380	0.956529770290502
PA14_09240	PA14_09380	0.97888181242831
PA14_09270	PA14_09380	0.978118267043521
PA14_09280	PA14_09380	0.978427303965759
PA14_09300	PA14_09380	0.967929031660479
PA14_09320	PA14_09380	0.94032940227654
PA14_09340	PA14_09380	0.985904842893018
PA14_09350	PA14_09380	0.952143562537113
PA14_09370	PA14_09380	0.983772161580536
PA14_00620	PA14_18140	0.949649789344961
PA14_09210	PA14_26020	0.976298316558611
PA14_09220	PA14_26020	0.956433069842284
PA14_09230	PA14_26020	0.949422770521561
PA14_09240	PA14_26020	0.980342442578318
PA14_09270	PA14_26020	0.974090591561956
PA14_09280	PA14_26020	0.981862825090767
PA14_09300	PA14_26020	0.974446651785622
PA14_09320	PA14_26020	0.942195959064112
PA14_09340	PA14_26020	0.960860653651984
PA14_09370	PA14_26020	0.973312126481643
PA14_09380	PA14_26020	0.950365638674729
PA14_09450	PA14_26020	0.942588795793932
PA14_09210	PA14_31290	0.948046124917779
PA14_09220	PA14_31290	0.94099549950933
PA14_09270	PA14_31290	0.948641604464233
PA14_09280	PA14_31290	0.943306161330108
PA14_09300	PA14_31290	0.942044930001715
PA14_09350	PA14_32720	0.943108376540253
PA14_09340	PA14_34870	0.944999119015769
PA14_09240	PA14_37250	0.940274002578375
PA14_09450	PA14_37250	0.980396467010464
PA14_26020	PA14_37250	0.968806684776658
PA14_09450	PA14_37290	0.972883674593143
PA14_37210	PA14_37290	0.94521339937083
PA14_37250	PA14_37290	0.968424268872403
PA14_09450	PA14_37310	0.96125994986802
PA14_37210	PA14_37310	0.961625584559486
PA14_37250	PA14_37310	0.969852590706288
PA14_37290	PA14_37310	0.990757557407985
PA14_09350	PA14_38210	0.939328235791006
PA14_32720	PA14_38210	0.951987791112055
PA14_32720	PA14_38220	0.938482143732855
PA14_38210	PA14_38220	0.97920109598985
PA14_38220	PA14_39810	0.948573387306955
PA14_09450	PA14_39880	0.977191983582551
PA14_37210	PA14_39880	0.939449594852841
PA14_37250	PA14_39880	0.968616800519478
PA14_37290	PA14_39880	0.955178104948115
PA14_37310	PA14_39880	0.946796120324887
PA14_09450	PA14_39890	0.995287801138963
PA14_26020	PA14_39890	0.948743888328958
PA14_37250	PA14_39890	0.982633103535537
PA14_37290	PA14_39890	0.960677325130219
PA14_37310	PA14_39890	0.948055959764427
PA14_39880	PA14_39890	0.977153147946218
PA14_09450	PA14_39925	0.996854766481026
PA14_26020	PA14_39925	0.945223268532417
PA14_37250	PA14_39925	0.982174131632639
PA14_37290	PA14_39925	0.971613365226081
PA14_37310	PA14_39925	0.961853602680502
PA14_39880	PA14_39925	0.976156406520569
PA14_39890	PA14_39925	0.994383867022648
PA14_09450	PA14_39945	0.98009427673609
PA14_37250	PA14_39945	0.9725177061323
PA14_37290	PA14_39945	0.950043310673261
PA14_37310	PA14_39945	0.946492064734426
PA14_39890	PA14_39945	0.981728705101833
PA14_39925	PA14_39945	0.97860618229479
PA14_18140	PA14_40240	0.939620552333832
PA14_40230	PA14_40240	0.966284121250203
PA14_09230	PA14_40250	0.941880107164795
PA14_09290	PA14_40250	0.943221301844117
PA14_09340	PA14_40250	0.951297674987316
PA14_38220	PA14_40250	0.942798628603739
PA14_40230	PA14_40250	0.982975570427818
PA14_09230	PA14_40260	0.964397226315965
PA14_09290	PA14_40260	0.96362159307829
PA14_09340	PA14_40260	0.958766407369233
PA14_40230	PA14_40260	0.967847498945404
PA14_40250	PA14_40260	0.981671624083809
PA14_34870	PA14_40290	0.97624372559842
PA14_32720	PA14_47390	0.941506778792059
PA14_38210	PA14_47390	0.95529588902149
PA14_34870	PA14_47400	0.944869351077282
PA14_55840	PA14_55860	0.971157002031532
PA14_09270	PA14_55880	0.939187057262052
PA14_26020	PA14_55880	0.947408090663543
PA14_09210	PA14_55890	0.966638911546106
PA14_09220	PA14_55890	0.938631030700011
PA14_09230	PA14_55890	0.953363247450258
PA14_09240	PA14_55890	0.979906418502452
PA14_09270	PA14_55890	0.962420410455869
PA14_09280	PA14_55890	0.972934668375879
PA14_09290	PA14_55890	0.949506971995414
PA14_09300	PA14_55890	0.96358120473818
PA14_09320	PA14_55890	0.948981691261065
PA14_09340	PA14_55890	0.961309577478066
PA14_09370	PA14_55890	0.972966455435488
PA14_09380	PA14_55890	0.951439552708606
PA14_09450	PA14_55890	0.953457859981909
PA14_26020	PA14_55890	0.990852824892956
PA14_37250	PA14_55890	0.972964971833795
PA14_39880	PA14_55890	0.945161768322767
PA14_39890	PA14_55890	0.956603247404783
PA14_39925	PA14_55890	0.951940270931082
PA14_09210	PA14_55900	0.94284380711963
PA14_09220	PA14_55900	0.946681193714028
PA14_09240	PA14_55900	0.93943451473651
PA14_09270	PA14_55900	0.95949516057877
PA14_09280	PA14_55900	0.952777139557354
PA14_09300	PA14_55900	0.951087297299226
PA14_09340	PA14_55900	0.940389261076935
PA14_26020	PA14_55900	0.960650563737201
PA14_55880	PA14_55900	0.981793432003095
PA14_55890	PA14_55900	0.960462469336944
PA14_09210	PA14_55920	0.961772307325635
PA14_09230	PA14_55920	0.954515171832419
PA14_09240	PA14_55920	0.97434329683604
PA14_09270	PA14_55920	0.969080563721413
PA14_09280	PA14_55920	0.973807276646062
PA14_09290	PA14_55920	0.95513779975443
PA14_09300	PA14_55920	0.962718691816841
PA14_09320	PA14_55920	0.941156513073774
