gene	condition	mean_expr	mean_z	active_z_ge_1
PA14_00620	transitional.growth	2.4410714750305	0.351866448785005	FALSE
PA14_00650	transitional.growth	2.49008769650852	0.386328714680136	FALSE
PA14_06170	transitional.growth	2.17310496061657	-0.199702592613529	FALSE
PA14_06180	transitional.growth	2.04815575437577	-0.525554390225001	FALSE
PA14_09210	transitional.growth	3.03097061093622	0.270092204455847	FALSE
PA14_09220	transitional.growth	2.67325289121161	0.221761025950559	FALSE
PA14_09230	transitional.growth	2.81514566680828	0.24145067539025	FALSE
PA14_09240	transitional.growth	2.95877287643276	0.252004562316232	FALSE
PA14_09270	transitional.growth	3.18561027566852	0.161514866107601	FALSE
PA14_09280	transitional.growth	3.21804719987502	0.0868179226829779	FALSE
PA14_09290	transitional.growth	2.6768540366963	-0.135374756357401	FALSE
PA14_09300	transitional.growth	2.7833633498944	-0.0877353122898854	FALSE
PA14_09320	transitional.growth	2.71337575055155	-0.142719255739724	FALSE
PA14_09340	transitional.growth	3.1125776043968	0.0147652576104513	FALSE
PA14_09350	transitional.growth	2.25239957140733	-0.15276400304755	FALSE
PA14_09370	transitional.growth	2.58717095219386	0.066596789129803	FALSE
PA14_09380	transitional.growth	2.5978683045249	-0.0539338711311745	FALSE
PA14_09450	transitional.growth	3.17240916088049	0.946870561291027	FALSE
PA14_09500	transitional.growth	3.01282432064495	0.350135453690759	FALSE
PA14_09970	transitional.growth	2.20298090496791	-0.40092823386203	FALSE
PA14_11140	transitional.growth	2.98009973789369	0.0754787730230971	FALSE
PA14_13450	transitional.growth	1.85065235650354	-0.522418345191261	FALSE
PA14_16100	transitional.growth	2.58479327113371	0.068888343539887	FALSE
PA14_18140	transitional.growth	3.0265062625405	0.851944407138742	FALSE
PA14_18680	transitional.growth	2.15063442934855	-0.884257534260905	FALSE
PA14_19480	transitional.growth	2.17528407135784	-0.323628970452363	FALSE
PA14_26020	transitional.growth	3.4420801883044	0.645766821704332	FALSE
PA14_28970	transitional.growth	1.93446613759578	-0.547854554284704	FALSE
PA14_28980	transitional.growth	1.77459713298674	-0.671426333157354	FALSE
PA14_31290	transitional.growth	2.64884345566176	0.059564768297264	FALSE
PA14_31350	transitional.growth	2.99690674216683	0.129836537391621	FALSE
PA14_32720	transitional.growth	2.15545453409895	-0.302339169736179	FALSE
PA14_33260	transitional.growth	1.83484393856588	-0.745721642647555	FALSE
PA14_34870	transitional.growth	3.11614829993285	0.263961886692678	FALSE
PA14_37210	transitional.growth	2.67659443165922	0.492659900727043	FALSE
PA14_37250	transitional.growth	2.65055756950148	0.414590529268182	FALSE
PA14_37290	transitional.growth	2.37859955114723	0.343827315461246	FALSE
PA14_37310	transitional.growth	2.3422104070856	0.352367418635457	FALSE
PA14_38210	transitional.growth	2.07074656995815	-0.494794334554528	FALSE
PA14_38220	transitional.growth	2.05576392934147	-0.808850303076399	FALSE
PA14_38260	transitional.growth	2.4087250747711	0.104364493566181	FALSE
PA14_38270	transitional.growth	2.41476062391607	-0.0731646404174614	FALSE
PA14_39780	transitional.growth	2.74184582114467	0.156274895819746	FALSE
PA14_39810	transitional.growth	1.99847793555363	-0.264734030235666	FALSE
PA14_39880	transitional.growth	3.1169409917199	0.814305209215527	FALSE
PA14_39890	transitional.growth	3.22696898329282	0.836698304140602	FALSE
PA14_39925	transitional.growth	3.13294310888163	0.923130372974744	FALSE
PA14_39945	transitional.growth	3.22514094177241	0.785584896106951	FALSE
PA14_40230	transitional.growth	2.68212485126538	-0.0883735398059351	FALSE
PA14_40240	transitional.growth	2.72693712549185	0.0524867592195047	FALSE
PA14_40250	transitional.growth	2.77658315578145	0.0443853739506279	FALSE
PA14_40260	transitional.growth	3.21332254482221	0.113500087761901	FALSE
PA14_40290	transitional.growth	3.10740639206795	0.0591565388918113	FALSE
PA14_47390	transitional.growth	1.88309340836202	-0.782417677095549	FALSE
PA14_47400	transitional.growth	1.84095302571815	-0.912105857303957	FALSE
